/****************************************************************************
 * @file     NuCAD.csv
 * @version  V1.26
 * @Date     2023/05/12-15:00:55 
 * @brief    NuMicro Pin Descriptions File
 *
 * SPDX-License-Identifier: Apache-2.0
 *
 * Copyright (C) 2013-2023 Nuvoton Technology Corp. All rights reserved.
*****************************************************************************/
MCU:NUC472VI8AE(LQFP100)
Pin,Current Multi Function,Group
1,PE.12,
2,PE.13,
3,PE.14,
4,PE.15,
5,VSS,
6,VDD,
7,PC.12,
8,PC.13,
9,PC.14,
10,PC.15,
11,PD.0,
12,PD.1,
13,PD.3,
14,PD.4,
15,PD.5,
16,PD.6,
17,PD.7,
18,PG.13,
19,PG.12,
20,nRESET,
21,LDO_CAP,
22,VSS,
23,VDD,
24,PG.10,
25,PG.11,
26,PG.15,
27,PG.14,
28,VBAT,
29,PA.0,
30,PA.1,
31,PA.2,
32,PA.3,
33,PA.4,
34,PA.5,
35,PA.6,
36,PA.7,
37,PA.8,
38,PA.9,
39,PA.10,
40,PA.11,
41,PA.12,
42,PA.13,
43,PA.14,
44,PA.15,
45,PC.9,
46,PC.10,
47,PC.11,
48,LDO_CAP,
49,VSS,
50,VDD,
51,VRES,
52,VBUS,
53,USB_VDD33_CAP,
54,VSSA,
55,USB0_D-,
56,USB0_D+,
57,USB0_OTG_ID,
58,PB.0,
59,PB.1,
60,PB.2,
61,PB.3,
62,PB.4,
63,PB.5,
64,PB.6,
65,PB.7,
66,PB.8,
67,PB.9,
68,PB.10,
69,PB.11,
70,PB.12,
71,PB.13,
72,PB.14,
73,PB.15,
74,VDD,
75,PC.0,
76,PC.1,
77,PC.2,
78,PC.3,
79,PC.4,
80,PC.5,
81,PC.6,
82,PC.7,
83,PC.8,
84,LDO_CAP,
85,VSS,
86,PE.0,
87,PE.1,
88,PE.2,
89,PE.3,
90,PE.4,
91,PE.5,
92,PE.6,
93,PE.7,
94,AVSS,
95,Vref,
96,AVDD,
97,PE.8,
98,PE.9,
99,PE.10,
100,PE.11,

Pin,Description,Group
1,PE.12/ADC1_4/ACMP1_P3/ACMP2_P2/EBI_nCS1,
2,PE.13/ADC1_5/ACMP2_P1/EBI_nCS2,
3,PE.14/ADC1_6/ACMP2_P0/EBI_nCS3,
4,PE.15/ADC1_7/ACMP2_N,
5,VSS,
6,VDD,
7,PC.12/SPI1_SS0/SC4_CD/SD1_CDn/CAP_DATA7/ETM_TRACE_DATA3/EBI_A0,
8,PC.13/SPI1_MOSI1/SC4_RST/SD1_CMD/CAP_DATA6/ETM_TRACE_DATA2/EBI_A1,
